gamma1,gamma2,alpha,nu
-0.6428571428571428,1.3061224489795917,-1.6628502891475632,12.419462839522563
-0.6428571428571428,1.3877551020408163,-1.5994928603723102,11.627483746640136
-0.6428571428571428,1.4693877551020407,-1.5413429980140543,10.969837408264551
-0.6428571428571428,1.5510204081632653,-1.4878064561993822,10.415349625816724
-0.6428571428571428,1.6326530612244896,-1.4383747067157246,9.941747446672156
-0.6428571428571428,1.7142857142857142,-1.3926100731727302,9.532701221588828
-0.6428571428571428,1.7959183673469385,-1.3501338853434521,9.17597183575302
-0.6428571428571428,1.8775510204081631,-1.3106169437986555,8.862209647783427
-0.6428571428571428,1.9591836734693877,-1.27377177598321,8.58415255922525
-0.6428571428571428,2.0408163265306123,-1.2393462980449281,8.336076650002935
-0.6428571428571428,2.1224489795918364,-1.2071185912932014,8.113411258194597
-0.6428571428571428,2.204081632653061,-1.1768925705083482,7.912463857729727
-0.6428571428571428,2.2857142857142856,-1.1484943716290046,7.730219877086205
-0.6428571428571428,2.36734693877551,-1.1217693236898614,7.564194732107215
-0.6428571428571428,2.4489795918367343,-1.0965793985763537,7.412322844081979
-0.6428571428571428,2.530612244897959,-1.0728010530591834,7.272873345712345
-0.6428571428571428,2.6122448979591835,-1.0503233957353164,7.144385251140119
-0.6428571428571428,2.693877551020408,-1.0290466231832716,7.0256170846804
-0.6428571428571428,2.7755102040816326,-1.00888068091561,6.915507337587563
-0.6428571428571428,2.8571428571428568,-0.9897441125837015,6.813143141302935
-0.6428571428571428,2.9387755102040813,-0.9715630674994421,6.717735237941087
-0.6428571428571428,3.020408163265306,-0.9542704418080634,6.6285978236180885
-0.6428571428571428,3.1020408163265305,-0.9378051328875746,6.5451321963827676
-0.6428571428571428,3.1836734693877546,-0.9221113901185914,6.4668133978106255
-0.6428571428571428,3.265306122448979,-0.9071382476203715,6.393179233482654
